Mes,Popularidad
2004-01,0
2004-02,11
2004-03,0
2004-04,0
2004-05,7
2004-06,12
2004-07,0
2004-08,9
2004-09,17
2004-10,9
2004-11,9
2004-12,9
2005-01,9
2005-02,7
2005-03,11
2005-04,15
2005-05,10
2005-06,12
2005-07,8
2005-08,10
2005-09,12
2005-10,9
2005-11,13
2005-12,13
2006-01,10
2006-02,10
2006-03,10
2006-04,8
2006-05,13
2006-06,11
2006-07,8
2006-08,11
2006-09,12
2006-10,12
2006-11,12
2006-12,7
2007-01,8
2007-02,8
2007-03,7
2007-04,9
2007-05,10
2007-06,6
2007-07,8
2007-08,7
2007-09,8
2007-10,5
2007-11,7
2007-12,5
2008-01,4
2008-02,6
2008-03,6
2008-04,6
2008-05,5
2008-06,5
2008-07,5
2008-08,6
2008-09,6
2008-10,7
2008-11,6
2008-12,7
2009-01,5
2009-02,7
2009-03,6
2009-04,7
2009-05,6
2009-06,6
2009-07,6
2009-08,7
2009-09,6
2009-10,6
2009-11,7
2009-12,6
2010-01,6
2010-02,9
2010-03,8
2010-04,7
2010-05,7
2010-06,7
2010-07,7
2010-08,8
2010-09,10
2010-10,7
2010-11,8
2010-12,5
2011-01,4
2011-02,5
2011-03,6
2011-04,5
2011-05,5
2011-06,4
2011-07,4
2011-08,5
2011-09,5
2011-10,5
2011-11,5
2011-12,5
2012-01,5
2012-02,6
2012-03,6
2012-04,6
2012-05,6
2012-06,6
2012-07,5
2012-08,6
2012-09,6
2012-10,7
2012-11,7
2012-12,5
2013-01,6
2013-02,7
2013-03,7
2013-04,7
2013-05,6
2013-06,6
2013-07,6
2013-08,7
2013-09,8
2013-10,8
2013-11,7
2013-12,7
2014-01,7
2014-02,9
2014-03,9
2014-04,9
2014-05,9
2014-06,7
2014-07,7
2014-08,10
2014-09,10
2014-10,12
2014-11,10
2014-12,8
2015-01,8
2015-02,12
2015-03,13
2015-04,14
2015-05,13
2015-06,12
2015-07,9
2015-08,12
2015-09,15
2015-10,14
2015-11,13
2015-12,10
2016-01,10
2016-02,14
2016-03,15
2016-04,15
2016-05,14
2016-06,11
2016-07,9
2016-08,15
2016-09,17
2016-10,18
2016-11,17
2016-12,13
2017-01,13
2017-02,20
2017-03,21
2017-04,22
2017-05,20
2017-06,17
2017-07,14
2017-08,19
2017-09,22
2017-10,23
2017-11,23
2017-12,16
2018-01,16
2018-02,26
2018-03,23
2018-04,26
2018-05,22
2018-06,19
2018-07,18
2018-08,23
2018-09,27
2018-10,27
2018-11,23
2018-12,18
2019-01,21
2019-02,30
2019-03,27
2019-04,29
2019-05,29
2019-06,31
2019-07,29
2019-08,32
2019-09,41
2019-10,41
2019-11,33
2019-12,30
2020-01,30
2020-02,40
2020-03,40
2020-04,43
2020-05,43
2020-06,38
2020-07,37
2020-08,39
2020-09,48
2020-10,34
2020-11,27
2020-12,23
2021-01,22
2021-02,26
2021-03,29
2021-04,32
2021-05,50
2021-06,52
2021-07,31
2021-08,29
2021-09,37
2021-10,37
2021-11,39
2021-12,27
2022-01,37
2022-02,56
2022-03,64
2022-04,82
2022-05,100
2022-06,78
2022-07,55
2022-08,68
2022-09,73
2022-10,71
2022-11,76
2022-12,51
2023-01,53
2023-02,70
2023-03,69
2023-04,60
2023-05,61
2023-06,49
2023-07,43
2023-08,59
2023-09,62
2023-10,56
2023-11,54
2023-12,37
2024-01,41
2024-02,65
2024-03,62
2024-04,64
2024-05,58
2024-06,43
2024-07,40
2024-08,54
2024-09,55
2024-10,54
2024-11,49
2024-12,46
